prompt_id,raw_prompt,subject_type,environment,lighting_style,camera_type,focal_length,film_stock,mood,tags,source,quality_score
11,"Dramatic cinematic fashion portrait in vertical 9:16 format. Scene: [SUBJECT] stands against a deep red studio background with a gradient. The pose is static, solemn, shoulders back, torso full-face. In his hands at chest level, a rectangular gift box in red paper with a bow is held — a gesture of ceremonial offering. The gaze is directed at the camera slightly from under the brow, the facial expression is mysterious and controlled. Clothes: a fitted crimson jacket with sharp lapels, the fabric is matte with a satin sheen. Under the jacket is a white shirt with an unbuttoned collar and a loosely tied dark red neckerchief. Classic cut trousers to match the jacket. Lighting: hard Low-key, side directional light, creating deep contrast and sculptural chiaroscuro on the face. Color correction: monochrome crimson palette, deep black shadows, warm highlights. Optics 85mm f/2.8, bokeh effect, photorealism 4K, skin texture without blurring.",person,studio,dramatic,dslr,85mm,tri-x_400,dramatic,"bw,cinematic,fashion,portrait,studio",collected,8.0
12,"Cinematic portrait of a girl standing on a staircase leaning against a beautiful wooden handrail and black forged railings. The photo was taken against the background of an elevator. The house is quite old, the floor is laid with stone, the elevator is of an old vintage model. She is dressed in a short black blazer dress with a black turtleneck underneath, black nylon tights and black leather ankle boots with stilettos and a sharp toe. In her hands she holds a handbag, and the other lies on the railing. Her legs are crossed. Her head is raised slightly up and to the side, looking away from the camera. Film, photorealism. Graceful evening makeup. Straight long shiny hair. Photo with flash. Aspect ratio 9:16",person,outdoor,studio,dslr,50mm,portra_400,nostalgic,"cinematic,female,portrait,vintage",collected,7.8
13,"A man stands by a tall window in an interior space, his body slightly angled diagonally to the camera, one arm raised and resting on the vertical window frame, the other hand loosely in his trouser pocket. His shoulders are relaxed, his body slightly tilted toward the window opening, his gaze directed directly at the camera, and his facial expression is calm and collected. The frame encompasses the figure from hips to head, the angle is at eye level, the composition is slightly shifted to the right, with a light window frame to the left of the frame creating a vertical line, and the figure occupying the center of the scene.

He is wearing a classic dark charcoal suit made of a dense, matte wool fabric. The jacket has crisp lapels and structured shoulders, and underneath it is a vest of the same fabric with a row of dark buttons. Under the vest is a white cotton shirt with a stiff collar. A neat light gray bow tie with a smooth satin finish is tied around his neck. A small boutonniere of white flowers with green stems is pinned to the lapel of the jacket. The trousers, made of the same fabric, have a clean line and soft folds.

The scene is set in a bright interior space with smooth, warm, light beige walls. To the left of the frame is a tall, white, matte-painted window frame, allowing natural light to stream in. The wall surfaces are smooth and uniform, without decorative elements, creating a minimalist and clean space.

The lighting is natural, with soft daylight coming from a window to the left of the camera. The light is directed from the side and slightly above, creating a smooth illumination of the face and suit. On the illuminated side of the face, soft highlights appear, while the opposite side is immersed in soft penumbra. The shadows are soft and elongated, with moderate contrast. The light subtly highlights the texture of the suit fabric and the lines of the face. Reflections on the fabric are soft and controlled, and the edges of the figure are separated from the background by the soft side light.

Shot with an 85mm portrait lens, the shallow depth of field is precisely focused on the face and upper body, while the background and distant interior areas are slightly blurred. The textures of the wool suit, cotton shirt, and skin are captured in detail. Atmospheric interior portrait photography, highly detailed, photorealistic.

Soft cinematic portrait mood,
warm beige interior tones,
neutral color palette with dark charcoal accents,
moderate saturation,
soft directional window light,
gentle contrast with smooth shadow falloff,
controlled highlights on fabric and skin,
clean texture with subtle softness,
natural cinematic color grading.",person,indoor,natural,dslr,85mm,portra_400,moody,"cinematic,male,nature,portrait",collected,8.5
14,"Elegant male editorial portrait, waist-up medium shot, a confident man standing in a slight three-quarter turn towards the camera against a clean neutral studio wall, holding a bouquet of deep burgundy chrysanthemums and white roses partially obscuring one eye, creating a mysterious cinematic composition. He is wearing an oversized structured burgundy overcoat over a minimal black crewneck tee, relaxed silhouette with soft fabric folds. One hand casually in the coat pocket, the other holding the flower stems firmly downwards. Short textured hairstyle styled naturally with soft volume, neat male grooming. Soft directional studio lighting highlighting the jawline and cheekbones, shallow depth of field, fashion magazine spread composition, calm intense facial expression, modern romantic masculine aesthetic.",person,studio,backlit,dslr,50mm,portra_400,dramatic,"cinematic,fashion,male,nature,portrait,studio",collected,7.8
15,"Nighttime cinematic scene captured from outside a luxury car. The car window is lowered and a woman sits inside the dark interior holding a massive bouquet of deep red roses close to her face. Outfit: minimal dark outfit mostly hidden by the bouquet and car frame, creating a mysterious look. Hair: long sleek hair with a precise center part, smooth glossy strands falling evenly over both shoulders. Pose: the woman sits in the back seat with her face partially hidden behind the bouquet of roses. Only her eyes and upper face are visible above the flowers as she glances sideways toward something outside the car. Camera angle: shot from outside the vehicle through the open window, horizontal framing emphasizing the car door frame and dramatic contrast between the dark car interior and the vivid red roses. Lighting: strong direct flash lighting illuminating the face and bouquet while the background remains almost completely black, creating a high contrast editorial night aesthetic. , soft sculpted face, rosy cheeks, glossy lips, clean defined brows. Neutral warm lighting with slight smartphone front camera flash, balanced shadows. Reference to image. Added fine film grain, realistic skin pores, subtle glow. Pinterest clean-girl meets luxury desert vibe, lifestyle editorial photography, ultra-detailed, 8K quality.",person,indoor,golden_hour,smartphone,50mm,portra_400,dramatic,"cinematic,fashion,female,landscape,nature,night",collected,8.8
16,"Dark studio portrait with a deep black background creating dramatic cinematic contrast. Outfit: black button-up shirt worn slightly open at the chest revealing a minimal masculine silhouette. Pose: the man stands facing slightly sideways while his head turns away from the camera, creating a sculptural profile. Body language: one hand gently adjusting the sleeve cuff of the opposite arm, giving the pose a calm controlled elegance. Camera angle: tight mid-portrait framing from chest level upward emphasizing facial structure and hand gesture. Lighting: dramatic directional studio lighting from the side highlighting the cheekbones, jawline and texture of the skin while leaving the background completely black.",person,studio,backlit,dslr,50mm,portra_400,dramatic,"cinematic,fashion,male,portrait,studio",collected,7.8
17,"A woman stands outdoors among dense, dark-green foliage, her body turned three-quarters, her head slightly tilted back, one hand raised to her hair, fingers touching a strand of hair near her temple, her gaze directed to the side and partially hidden behind sunglasses. The shot is a close-up portrait, from chest to crown, angled at eye level with a slight turn. The composition is tight, with the face shifted toward the center and the leaves partially obscuring the right side of the frame.

Warm bronze-brown makeup, softly blended, warm terracotta eyeshadow, thin, dark brown eyeliner along the lash line, elongated, naturally volumized lashes, and a warm, nude, caramel-pink lipstick with a satin finish.

Hair is styled in soft, large waves with pronounced texture and volume along the lengths, accessorized with a wide, light-white, matte headband. She wears narrow sunglasses with creamy beige frames and dark lenses. She wears a knitted sweater in a rich, warm orange-terracotta shade with a voluminous texture and decorative spherical elements on the sleeves. The yarn is thick and textured with a pronounced texture.

The location is a natural environment with dense foliage in shades of dark green and olive. The background is dark, without visible architectural elements, and the space is filled with vegetation, creating a deep background.

The lighting is natural, with harsh, directional sunlight falling from above and slightly to the side, creating sharp, contrasting shadows from the leaves on her face and sweater. The light is warm, golden, the shadows are deep and dense, the contrast is high, the highlights on her skin and glasses are bright and pronounced, and the edges of the shadows are sharp.

Shot with an 85mm portrait lens, shallow depth of field with sharp focus on the face and texture of the sweater. The background with foliage is softly blurred, with detailed textures of skin, knitwear, and leaves. Outdoor fashion portrait photography, highly detailed, photorealistic.

Warm autumn sunlight mood,
dominant burnt orange and deep green tones,
warm golden color temperature,
medium to high saturation,
high contrast with strong shadow definition,
hard directional sunlight,
deep shadows with crisp edges,
rich textured detail with minimal grain,
cinematic warm outdoor color grading.",person,indoor,dramatic,dslr,85mm,portra_400,moody,"cinematic,fashion,female,portrait,vintage",collected,8.5
18,"A woman is in an outdoor pool in the evening, resting her body on the edge of the rock surface, her shoulders and upper torso above the water, one arm bent and palm touching her cheek, eyes closed, face slightly upturned. The shot is medium, from the chest to the crown of the head, the angle is at eye level, the composition is centered, and dark green tropical vegetation and a blurred waterfall are visible in the background.

She has an even, matte skin tone with light reflecting off the water, warm bronze-brown makeup, softly blended warm brown eyeshadow, thin black eyeliner with an elongated wing, long, volumized lashes, and caramel-beige lips with a glossy finish. She has a light tan.

Her hair is sleek, combed back, and damp, strands lying flat against her head and neck, the texture gleaming from the water.

She is wearing a deep navy blue swimsuit with a matte finish. Jewelry: thin gold chains of varying lengths around the neck, small round gold earrings, and several thin gold bracelets on the wrist; the metal surface is smooth and reflective.

The location is a pool with dark, emerald-green water, edged with gray stone with wet spots and reflections. In the background are dense palm trees and dark foliage, a waterfall with a soft blur in the depths of the frame, and a darkened space with no visible artificial light sources.

The lighting is soft and directional, with the main source positioned from the front and slightly overhead. The warm, golden light creates soft shadows under the chin and along the shoulders. Reflections from the water create an additional diffused glow on the skin. The contrast is moderate, the shadows are deep but with smooth transitions, and the highlights on the skin are pronounced and dewy.

Shot with an 85mm portrait lens, shallow depth of field with sharp focus on the face and upper body. The background, with vegetation and a waterfall, is softly blurred, with detailed textures of skin, water, and rock. Luxury poolside portrait photography, highly detailed, photorealistic.

Moody tropical evening mood,
dominant deep emerald green and navy blue tones,
warm golden highlights against a dark background,
moderate saturation with rich color depth,
medium contrast with soft shadow transitions,
soft directional key light with water reflections,
deep shadows with preserved detail,
smooth cinematic texture with minimal grain,
luxury cinematic color grading.",person,indoor,soft,dslr,85mm,portra_400,moody,"cinematic,female,nature,portrait,swimwear,vintage",collected,8.5
19,"A man sits at a table in a modern restaurant, leaning back slightly in a comfortable chair, one arm raised and holding a glass of dark ruby ​​wine, his gaze directed at the camera, the other hand resting relaxed on the table, his pose frozen in the moment of appreciating the drink. The shot is medium-length, from the waist up, at eye level, the composition is centered, and several deep black plates with dishes are positioned in the foreground at the bottom of the frame, creating a distinct sense of depth.

He wears a white polo shirt in a crisp, cool shade of smooth cotton, and a metal watch in a gold-steel tone with a round dial. On the table in front of him are black ceramic plates with a matte finish: one holding a rich red soup with green leaves, another with a salad of greens, red and yellow vegetables, and light shredded wood, and a third with pieces of meat and bright vegetable accents. The tabletop is a warm, light brown with a pronounced wood grain. The location is a modern restaurant with a cool gray-beige concrete wall, black decorative metal elements on the wall, and warm golden-amber wicker pendant lights on the ceiling. Small garlands of warm lights create accent lighting, with diners visible at the tables in the back of the room.

The lighting is mixed. The main warm light source comes from overhead, casting soft golden highlights on leather and wine glasses. Additional diffused light fills the shadows in the front. The shadows are soft and moderately dense, the contrast is medium, and the highlights on the glass and ceramics are controlled. The overall balance is between warm amber lighting and the neutral gray tones of the interior.

Shot with a 50mm lens, moderate depth of field with sharp focus on the face and glass, slightly blurred foreground plates to create depth, softly softened background, detailed textures of leather, ceramics, and wood. Lifestyle restaurant photography, highly detailed, photorealistic.

Cinematic modern restaurant mood,
warm amber and neutral gray dominant tones,
balanced warm color temperature,
moderate saturation with natural food colors,
medium contrast with soft shadow transitions,
warm overhead pendant lighting,
controlled highlight reflections on glass and ceramics,
clean texture with slight depth blur,
modern lifestyle color grading.",person,indoor,golden_hour,dslr,50mm,portra_400,moody,"cinematic,male,vintage",collected,8.5
20,"A man sits at a table in a modern restaurant, leaning back slightly in a comfortable chair, one arm raised and holding a glass of dark ruby ​​wine, his gaze directed at the camera, the other hand resting relaxed on the table, his pose frozen in the moment of appreciating the drink. The shot is medium-length, from the waist up, at eye level, the composition is centered, and several deep black plates with dishes are positioned in the foreground at the bottom of the frame, creating a distinct sense of depth.

He wears a white polo shirt in a crisp, cool shade of smooth cotton, and a metal watch in a gold-steel tone with a round dial. On the table in front of him are black ceramic plates with a matte finish: one holding a rich red soup with green leaves, another with a salad of greens, red and yellow vegetables, and light shredded wood, and a third with pieces of meat and bright vegetable accents. The tabletop is a warm, light brown with a pronounced wood grain. The location is a modern restaurant with a cool gray-beige concrete wall, black decorative metal elements on the wall, and warm golden-amber wicker pendant lights on the ceiling. Small garlands of warm lights create accent lighting, with diners visible at the tables in the back of the room.

The lighting is mixed. The main warm light source comes from overhead, casting soft golden highlights on leather and wine glasses. Additional diffused light fills the shadows in the front. The shadows are soft and moderately dense, the contrast is medium, and the highlights on the glass and ceramics are controlled. The overall balance is between warm amber lighting and the neutral gray tones of the interior.

Shot with a 50mm lens, moderate depth of field with sharp focus on the face and glass, slightly blurred foreground plates to create depth, softly softened background, detailed textures of leather, ceramics, and wood. Lifestyle restaurant photography, highly detailed, photorealistic.

Cinematic modern restaurant mood,
warm amber and neutral gray dominant tones,
balanced warm color temperature,
moderate saturation with natural food colors,
medium contrast with soft shadow transitions,
warm overhead pendant lighting,
controlled highlight reflections on glass and ceramics,
clean texture with slight depth blur,
modern lifestyle color grading.",person,indoor,golden_hour,dslr,50mm,portra_400,moody,"cinematic,male,vintage",collected,8.5
21,"Extremely close-up face. The girl is half-turned to the camera, long shiny hair falling in strands over her face, blowing in the wind, she looks into the camera with a playful gaze. Thins black arrows on her eyes. She carefully brought a large bright red rose to her nose. Cinematic effect with grain added. Background — shops in the city. Rays of sun partially fall on the eyes. Do not change facial features.",person,outdoor,cinematic,dslr,85mm,portra_400,bright,"cinematic,female,portrait,urban,vintage",collected,7.3
22,"Cinematic portrait with fine grain. Close-up. Mom and daughter sitting on the floor, leaning their backs against each other. They have their eyes closed. Both are wearing a simple black turtleneck with a high neck. Minimum of accessories, only a watch on the mother's hand. As natural and smooth hair as possible. Mom's hair is straight, combed back. Uniform light grey background (white concrete or textured plaster). Soft window lighting creating a smooth gradient of shadow on faces and turtlenecks. Black and white gamma.",person,outdoor,cinematic,dslr,85mm,tri-x_400,cinematic,"bw,cinematic,portrait,vintage",collected,7.8
23,"woman with long wavy black hair, light blue strapless mini-dress with lace-up front and ruffles, seated on a light-colored outdoor lounge chair, small beige top-handle handbag, outdoor night scene with palm trees and illuminated tropical foliage, swimming pool in background, foreground: woman's torso and legs, small beige handbag, background: blurred palm trees, tropical plants, swimming pool, dark sky, depth: shallow depth of field, background softly blurred, medium shot, woman seated, slightly off-center, eye-level perspective, standard lens, eye-level, dim ambient light, warm artificial spotlights on foliage, woman, outdoor tropical resort at night, poolside, fabric (dress, lounge chair upholstery), leather (handbag), water (pool), plant leaves, wood (lounge chair frame), long wavy black hair, fair skin, light blue strapless mini-dress, dress with corset-style lace-up front, ruffled hem and neckline on dress, small beige top-handle handbag, green eyes, freckles on face, dark night sky, warm artificial lighting, cinematic color grading, subtle glow, slight vignette",person,outdoor,natural,dslr,50mm,portra_400,moody,"cinematic,female,nature,night,water",collected,8.3
24,"Without changing the appearance of the woman from the photo, a close-up of the face is depicted with emphasized eyes, lined with brown and gold and black makeup that accentuates an elongated eye shape with an elegant line extending beyond the outer corner. The gaze is focused forward, deeply insightful, green-tinted eyes glistening with reflected light. The tanned skin of the face is smooth, velvety, with a light natural glow. The lips are full of light pink color, shiny, slightly parted, touched by a hand with neatly manicured nails of a light neutral shade, which adds a soft intimacy to the scene. Individual black strands of hair fall slightly on the face, creating dynamics and a sense of slight disorder, shadows from them gently falling on the skin. Near her face, the girl holds a white magnolia. The lighting is soft but directed in such a way that it emphasizes the relief of the cheekbones and the natural contours of the nose, creating depth and volume. The background is completely hidden, the image focuses exclusively on the face and hand, creating a dramatic, almost cinematic atmosphere emanating from the play of light and shadows, conveying a mysterious and mesmerizing mood. All this is complemented by rich textural detail of skin and lips, glitter on the nails and pearlescent effect of shadows on the eyelids, which gives the portrait depth and liveliness, photorealistic image, high textural detail, high quality, 8K resolution. Raw photo darkening and decreasing exposure throughout the photo. Extremely close-up portrait face to chin! A ray of sun illuminates the eye with a diagonal fuzzy stripe and the face is darkened throughout the photo, decreasing exposure throughout the photo, blurring with a movement effect.",person,outdoor,cinematic,dslr,85mm,portra_400,dramatic,"cinematic,female,portrait",collected,9.3
25,"Extreme close-up portrait photography captured on Hasselblad medium format camera with 80mm lens, capturing a serene girl lying on a pristine white sofa in soft natural light. Her voluminous, shiny long hair cascades partially over her face, windblown and luminescent, adorned in abundance with vibrant small orange flowers woven throughout. Her skin glows with subtle backlighting and strategic highlights, showcasing a flawless complexion with visible French manicure. Cinematic aesthetic includes subtle film grain and fine color grading with warm peach tones against cool white. Shot with a shallow depth of field, accentuating facial features while maintaining her natural expressions and distinctive facial structure. Volumetric soft light creates an intimate, relaxed mood reminiscent of modern fashion cinematography with Tarkovksy inspiration.",person,outdoor,soft,medium_format,80mm,portra_400,bright,"cinematic,fashion,female,nature,portrait,vintage",collected,8.0
26,"Portrait close-up shot through stretched semi-transparent plastic film creating layered foreground distortion. Female model seen from slightly low frontal angle, camera positioned beneath eye level, hands pulling and separating translucent material toward the lens. Long sharp matte black stiletto nails framing the face, fingers tense and elegant. Makeup dramatic and clean: elongated black winged eyeliner, softly contoured cheeks, matte nude-brown lips with subtle gradient center. Small nose piercing visible. Hair pulled tightly back away from face emphasizing bone structure. Expression intense and intimate, direct eye contact through plastic layers creating sensual cinematic tension. Minimal neutral studio background blurred behind translucent texture, shallow depth of field focusing on eyes and fingertips. , soft sculpted face, rosy cheeks, glossy lips, clean defined brows. Neutral warm lighting with slight smartphone front camera flash, balanced shadows. Reference to image. Added fine film grain, realistic skin pores, subtle glow. Pinterest clean-girl meets luxury desert vibe, lifestyle editorial photography, ultra-detailed, 8K quality",person,studio,golden_hour,smartphone,85mm,portra_400,dramatic,"cinematic,fashion,female,portrait,studio,summer",collected,8.8
27,"Portrait cinematic shot of a young man leaning against the rear side of a vintage cream-colored classic car, camera positioned slightly below eye level creating a relaxed editorial perspective. The model sits sideways on the pavement with one shoulder pressed against the car body, head tilted back slightly, gaze directed off-camera with a thoughtful expression. He wears a brown suede shearling jacket with soft cream wool lining visible along the collar and inner seams, partially unzipped revealing a warm-toned knit layer underneath. Sleeves naturally creased, emphasizing texture realism. Hair styled in natural voluminous waves brushed upward and slightly tousled by wind. Background softly blurred to highlight the metallic texture of the retro vehicle and cinematic nostalgia mood.",person,outdoor,cinematic,dslr,50mm,portra_400,nostalgic,"cinematic,fashion,male,portrait,vintage",collected,7.8
28,"Face from the uploaded image, 100% fidelity. An ultra-detailed cinematic portrait of a charismatic, mysterious Middle Eastern man. He wears a textured dark teal or black fedora hat and round yellow-orange tinted sunglasses reflecting light. His gaze is intense and confident, looking slightly downward or to the side. A prominent silver skull ring is visible on a finger held near his face, with multiple other rings also present. The scene features dramatic side lighting with rim light and deep shadows, creating a moody noir atmosphere. The background is a blurred dark urban setting with bokeh lights. The skin is photorealistic, showing pores, stubble, and subtle sweat. The image has high-contrast cinematic color grading with warm orange accents on the sunglasses. Shot with a shallow depth of field using an 85mm lens. Masterpiece, 8k, hyperrealistic -ar 2:3 --stylize 350 --v 6 --q",person,outdoor,dramatic,dslr,85mm,portra_400,dramatic,"cinematic,male,portrait,urban",collected,8.5
